id_inmueble,tipo_inmueble,precio,area_construida,habitaciones,banos,estrato,id_localidad,localidad,lat,lon
1,Apartamento,684492395,75.9,3,2,5,2,CHAPINERO,4.647037,-74.039116
2,Apartamento,495307453,92.7,3,2,4,3,SANTA FE,4.588579,-74.051578
3,Casa,302200846,49.5,1,1,4,1,USAQUEN,4.695299,-74.026391
4,Apartamento,1240733422,150.6,5,4,6,2,CHAPINERO,4.665918,-74.068135
5,Apartamento,466435019,75.0,2,2,3,11,SUBA,4.776872,-74.10896
6,Casa,940685596,154.0,5,5,3,12,BARRIOS UNIDOS,4.678347,-74.076818
7,Casa,493681398,87.2,4,4,4,1,USAQUEN,4.694843,-74.048081
8,Apartaestudio,296799762,71.2,3,3,3,1,USAQUEN,4.734164,-74.045666
9,Casa,828244490,65.7,1,2,6,2,CHAPINERO,4.624081,-74.036233
10,Apartamento,363386962,72.7,2,2,3,9,FONTIBON,4.689255,-74.126038
11,Apartamento,284831390,81.3,3,4,3,8,KENNEDY,4.601393,-74.15442
12,Oficina,719186487,73.3,3,2,6,1,USAQUEN,4.663858,-74.023872
13,Apartaestudio,406114023,33.6,1,1,4,2,CHAPINERO,4.666951,-74.051137
14,Casa,715282519,177.2,6,6,3,8,KENNEDY,4.59659,-74.144882
15,Apartamento,422986254,58.5,2,3,4,1,USAQUEN,4.686012,-74.001561
16,Apartamento,455274560,72.8,2,3,4,13,TEUSAQUILLO,4.65713,-74.08354
17,Casa,325050558,143.6,5,4,3,4,SAN CRISTOBAL,4.532161,-74.086832
18,Apartamento,418549352,70.5,3,2,3,11,SUBA,4.755896,-74.084323
19,Oficina,697962907,82.6,4,3,4,11,SUBA,4.753859,-74.051039
20,Apartamento,216819766,79.5,3,3,2,11,SUBA,4.746354,-74.082954
21,Apartamento,736678712,67.5,3,2,5,2,CHAPINERO,4.64073,-74.055211
22,Apartamento,478197079,70.0,3,2,4,11,SUBA,4.74906,-74.060339
