id_poi,categoria,nombre,lat,lon
1,parque,Parque 1,4.617865,-74.083956
2,hospital,Hospital 2,4.758536,-74.172746
3,colegio,Colegio 3,4.606656,-74.168889
4,hospital,Hospital 4,4.661511,-74.153462
5,transmilenio,Transmilenio 5,4.671118,-74.048474
6,colegio,Colegio 6,4.63548,-74.058842
7,colegio,Colegio 7,4.717347,-74.037896
8,hospital,Hospital 8,4.682498,-74.057288
9,parque,Parque 9,4.68796,-74.076085
10,colegio,Colegio 10,4.622531,-74.177511
11,universidad,Universidad 11,4.764153,-74.05897
12,hospital,Hospital 12,4.652382,-74.051101
13,colegio,Colegio 13,4.702241,-74.085101
14,universidad,Universidad 14,4.592397,-74.074247
15,universidad,Universidad 15,4.686576,-74.102036
16,colegio,Colegio 16,4.579054,-74.144973
17,parque,Parque 17,4.584052,-74.114725
18,hospital,Hospital 18,4.57279,-74.11133
19,universidad,Universidad 19,4.720755,-74.077421
20,colegio,Colegio 20,4.689995,-74.165985
21,colegio,Colegio 21,4.724352,-74.097516
22,hospital,Hospital 22,4.601457,-74.171395
23,transmilenio,Transmilenio 23,4.694559,-74.125731
24,universidad,Universidad 24,4.671441,-74.150888
25,transmilenio,Transmilenio 25,4.600569,-74.09095
26,transmilenio,Transmilenio 26,4.778361,-74.148055
27,universidad,Universidad 27,4.711305,-74.163669
28,transmilenio,Transmilenio 28,4.627266,-74.105814
29,hospital,Hospital 29,4.683036,-74.066916
30,universidad,Universidad 30,4.653516,-74.156807
31,parque,Parque 31,4.76539,-74.091454
32,colegio,Colegio 32,4.700977,-74.039204
33,universidad,Universidad 33,4.779857,-74.145192
34,parque,Parque 34,4.647566,-74.100959
35,colegio,Colegio 35,4.753234,-74.093752
36,colegio,Colegio 36,4.676428,-74.115539
37,parque,Parque 37,4.550427,-74.176422
38,colegio,Colegio 38,4.698598,-74.076947
39,hospital,Hospital 39,4.761541,-74.053218
40,transmilenio,Transmilenio 40,4.668328,-74.053141
41,parque,Parque 41,4.760505,-74.159659
42,colegio,Colegio 42,4.739092,-74.132467
43,colegio,Colegio 43,4.699782,-74.167921
44,hospital,Hospital 44,4.655587,-74.027082
45,transmilenio,Transmilenio 45,4.610773,-74.155365
46,colegio,Colegio 46,4.597268,-74.021355
47,hospital,Hospital 47,4.559278,-74.115279
48,hospital,Hospital 48,4.55006,-74.049674
49,parque,Parque 49,4.718247,-74.177146
50,colegio,Colegio 50,4.673276,-74.072413
51,transmilenio,Transmilenio 51,4.628384,-74.103903
52,parque,Parque 52,4.66351,-74.04343
53,parque,Parque 53,4.752025,-74.163753
54,colegio,Colegio 54,4.685868,-74.103272
55,universidad,Universidad 55,4.621082,-74.071274
56,transmilenio,Transmilenio 56,4.699324,-74.150821
57,universidad,Universidad 57,4.67634,-74.022205
58,hospital,Hospital 58,4.598698,-74.044442
59,parque,Parque 59,4.62475,-74.148211
60,hospital,Hospital 60,4.578102,-74.120955
61,transmilenio,Transmilenio 61,4.576463,-74.0544
62,colegio,Colegio 62,4.669647,-74.100098
63,colegio,Colegio 63,4.651352,-74.024663
64,colegio,Colegio 64,4.604737,-74.085411
65,colegio,Colegio 65,4.658847,-74.0987
66,transmilenio,Transmilenio 66,4.743438,-74.103852
67,universidad,Universidad 67,4.564214,-74.126253
68,universidad,Universidad 68,4.590751,-74.028091
69,universidad,Universidad 69,4.611572,-74.128917
70,universidad,Universidad 70,4.725355,-74.111363
71,colegio,Colegio 71,4.747052,-74.049967
72,hospital,Hospital 72,4.629126,-74.14005
73,transmilenio,Transmilenio 73,4.709364,-74.044541
74,universidad,Universidad 74,4.778626,-74.107111
75,universidad,Universidad 75,4.680527,-74.041884
76,transmilenio,Transmilenio 76,4.662489,-74.148818
77,hospital,Hospital 77,4.571375,-74.078694
78,parque,Parque 78,4.659254,-74.022478
79,transmilenio,Transmilenio 79,4.658873,-74.098603
80,transmilenio,Transmilenio 80,4.778538,-74.03195
