ITEM;Codigo Parque;Nombre Parque;Nombre Localidad;Nivel de Parque;Tipo Cancha;Superficie
1;01-023;Servitá;01 Usaquén;ESTRUCTURANTE;Fútbol 11 - Rugby;SINTETICA
2;01-023;Servitá;01 Usaquén;ESTRUCTURANTE;Fútbol 5;SINTETICA
3;01-031;Cedritos;01 Usaquén;PROXIMIDAD;Fútbol 8;SINTETICA
4;01-079;Toberin;01 Usaquén;PROXIMIDAD;Fútbol 11;SINTETICA
5;01-189;Estrella norte;01 Usaquén;PROXIMIDAD;Fútbol 5;SINTETICA
6;01-313;Verbenal;01 Usaquén;PROXIMIDAD;Fútbol 5;SINTETICA
7;01-540;Urb. Calle 170 / Alameda;01 Usaquén;PROXIMIDAD;Fútbol 5;SINTETICA
8;02-007;La Cabrera (Japon);02 Chapinero;PROXIMIDAD;Fútbol 5;SINTETICA
9;03-036;Cruces;03 Santafé;ESTRUCTURANTE;Fútbol 5;SINTETICA
10;03-085;Tercermilenio;03 Santafé;ESTRUCTURANTE;Fútbol 11 - Rugby;SINTETICA
11;03-085;Tercermilenio;03 Santafé;ESTRUCTURANTE;Fútbol 5;SINTETICA
12;03-085;Tercermilenio;03 Santafé;ESTRUCTURANTE;Fútbol 5;SINTETICA
13;03-122;Desarrollo Lourdes;03 Santafé;PROXIMIDAD;Fútbol 5;SINTETICA
14;03-148;Laches la mina;03 Santafé;ESTRUCTURANTE;Fútbol 8;SINTETICA
15;04-038;Urb. Antioquia;04 San Cristóbal;PROXIMIDAD;Fútbol 5;SINTETICA
16;04-103;Gaitán cortes;04 San Cristóbal;ESTRUCTURANTE;Fútbol 11;SINTETICA
17;04-122;La Victoria;04 San Cristóbal;ESTRUCTURANTE;Fútbol 5;SINTETICA
18;04-122;La Victoria;04 San Cristóbal;ESTRUCTURANTE;Fútbol 5;SINTETICA
19;04-127;San Cristobal 1;04 San Cristóbal;ESTRUCTURANTE;Fútbol 11 - FA;SINTETICA
20;04-127;San Cristobal 2;04 San Cristóbal;ESTRUCTURANTE;Fútbol 11;SINTETICA
21;05-002;La Aurora II;05 Usme;ESTRUCTURANTE;Fútbol 11;SINTETICA
22;05-003;Valles de Cafam;05 Usme;ESTRUCTURANTE;Fútbol 5;SINTETICA
23;05-042;Miravalle;05 Usme;PROXIMIDAD;Fútbol 5;SINTETICA
24;05-042;Miravalle;05 Usme;PROXIMIDAD;Fútbol 5;SINTETICA
25;05-042;Miravalle;05 Usme;PROXIMIDAD;Fútbol 8;SINTETICA
26;05-087;Villa Alemana;05 Usme;ESTRUCTURANTE;Fútbol 5;SINTETICA
27;05-141;Alfonso Lopez;05 Usme;PROXIMIDAD;Fútbol 5;SINTETICA
28;05-459;Nuevo Usme;05 Usme;PROXIMIDAD;Fútbol 5;SINTETICA
29;05-476;Ciudad Nuevo Milenio I;05 Usme;PROXIMIDAD;Fútbol 5;SINTETICA
30;05-476;Ciudad Nuevo Milenio I;05 Usme;PROXIMIDAD;Fútbol 5;SINTETICA
31;06-005;Urbanizacion La Laguneta;06 Tunjuelito;PROXIMIDAD;Fútbol 8;SINTETICA
32;06-006;Urbanizacion La Laguna (Venecia);06 Tunjuelito;PROXIMIDAD;Fútbol 5;SINTETICA
33;06-006;Urbanizacion La Laguna (Venecia);06 Tunjuelito;PROXIMIDAD;Fútbol 5;SINTETICA
34;06-012;Urb. Tunjuelito;06 Tunjuelito;PROXIMIDAD;Fútbol 11;SINTETICA
35;06-017;Nuevo Muzu;06 Tunjuelito;ESTRUCTURANTE;Fútbol 8;SINTETICA
36;06-063;El Tunal ;06 Tunjuelito;ESTRUCTURANTE;Fútbol 8;SINTETICA
37;06-063;El Tunal ;06 Tunjuelito;ESTRUCTURANTE;Fútbol 8;SINTETICA
38;06-063;El Tunal ;06 Tunjuelito;ESTRUCTURANTE;Fútbol 7;SINTETICA
39;06-063;El Tunal (Alterna);06 Tunjuelito;ESTRUCTURANTE;Fútbol 11;SINTETICA
40;07-035;Naranjos;07 Bosa;ESTRUCTURANTE;Fútbol 11;SINTETICA
41;07-036;Timiza Villa del rio;07 Bosa;ESTRUCTURANTE;Fútbol 11 - Rugby;SINTETICA
42;07-152;Autopista Sur (Pavco);07 Bosa;ESTRUCTURANTE;Fútbol 8;SINTETICA
43;07-163;Clarelandia;07 Bosa;ESTRUCTURANTE;Fútbol 11;SINTETICA
44;07-163;Clarelandia mini;07 Bosa;ESTRUCTURANTE;Fútbol 5;SINTETICA
45;07-164;San jose maryland;07 Bosa;ESTRUCTURANTE;Fútbol 11;SINTETICA
46;07-260;El  Recreo;07 Bosa;ESTRUCTURANTE;Fútbol 9;SINTETICA
47;07-273;La Esperanza;07 Bosa;ESTRUCTURANTE;Fútbol 5;SINTETICA
48;07-274;La Tingua Tibanica;07 Bosa;ESTRUCTURANTE;Fútbol 7;SINTETICA
49;07-292;Urb. Chicala;07 Bosa;PROXIMIDAD;Fútbol 8;SINTETICA
50;07-321;Santiago de Atalaya;07 Bosa;PROXIMIDAD;Fútbol 8;SINTETICA
51;07-391;El Porvenir;07 Bosa;ESTRUCTURANTE;Fútbol 5;SINTETICA
52;07-391;El Porvenir;07 Bosa;ESTRUCTURANTE;Fútbol 5;SINTETICA
53;07-391;El Porvenir;07 Bosa;ESTRUCTURANTE;Fútbol 8;SINTETICA
54;07-391;El Porvenir;07 Bosa;ESTRUCTURANTE;Fútbol 7;SINTETICA
55;07-391;El Porvenir;07 Bosa;ESTRUCTURANTE;Fútbol 7;SINTETICA
56;07-403;Portal del Sol;07 Bosa;PROXIMIDAD;Fútbol 11;SINTETICA
57;07-436;Campo Verde;Por confirmar;ESTRUCTURANTE;Fútbol 8;SINTETICA
58;07-436;Campo Verde;Por confirmar;ESTRUCTURANTE;Fútbol 8;SINTETICA
59;07-436;Campo Verde;Por confirmar;ESTRUCTURANTE;Fútbol 5;SINTETICA
60;08-040;Carvajal;08 Kennedy;PROXIMIDAD;Fútbol 11;SINTETICA
61;08-065;Villa Alsacia;08 Kennedy;PROXIMIDAD;Fútbol 11 - FA;SINTETICA
62;08-066;Marsella Sector Norte I Etapa ;08 Kennedy;ESTRUCTURANTE;Fútbol 5;SINTETICA
63;08-066;Marsella Sector Norte I Etapa ;08 Kennedy;ESTRUCTURANTE;Fútbol 11;SINTETICA
64;08-127;Américas Occidental;08 Kennedy;PROXIMIDAD;Fútbol 8;SINTETICA
65;08-144;Dindalito;08 Kennedy;ESTRUCTURANTE;Fútbol 8;SINTETICA
66;08-180;Villa de los Sauces;08 Kennedy;PROXIMIDAD;Fútbol 8;SINTETICA
67;08-200;Castilla;08 Kennedy;ESTRUCTURANTE;Fútbol 8;SINTETICA
68;08-212;La Igualdad;08 Kennedy;ESTRUCTURANTE;Fútbol 11;SINTETICA
69;08-219;Timiza;08 Kennedy;ESTRUCTURANTE;Fútbol 11;SINTETICA
70;08-219;Timiza;08 KENNEDY;ESTRUCTURANTE;Fútbol 8;SINTETICA
71;08-241;Cayetano Cañizares;08 Kennedy;ESTRUCTURANTE;Fútbol 11;SINTETICA
72;08-533;Las Luces y Villa Rica;08 Kennedy;PROXIMIDAD;Fútbol 8;SINTETICA
73;08-552;Gilma f11;08 Kennedy;ESTRUCTURANTE;Fútbol 11;SINTETICA
74;08-552;Gilma f8;08 Kennedy;ESTRUCTURANTE;Fútbol 8;SINTETICA
75;08-552;Gilma f5;08 Kennedy;ESTRUCTURANTE;Fútbol 5;SINTETICA
76;08-552;Gilma f5;08 Kennedy;ESTRUCTURANTE;Fútbol 5;SINTETICA
77;08-568;La Alejandra;08 Kennedy;PROXIMIDAD;Fútbol 8;SINTETICA
78;08-626;Lago Timiza I Etapa;08 Kennedy;PROXIMIDAD;Fútbol 8;SINTETICA
79;08-770;Primavera;08 Kennedy;PROXIMIDAD;Fútbol 8;SINTETICA
