Codigo Parque;Nombre Parque;Nombre Localidad;Tipologia;Administracion
01-012;La Vida;USAQUÉN;ESTRUCTURANTE;IDRD
01-023;Servita;USAQUÉN;ESTRUCTURANTE;IDRD
01-064;Nueva Autopista;USAQUÉN;ESTRUCTURANTE;IDRD
01-075;Alta Blanca;USAQUÉN;ESTRUCTURANTE;IDRD
01-1000;El Country;USAQUÉN;ESTRUCTURANTE;IDRD
02-004;Gustavo Uribe Botero;CHAPINERO;ESTRUCTURANTE;IDRD
02-014;Canal El Virrey- El Chico;CHAPINERO;ESTRUCTURANTE;IDRD
02-019;Sucre O Hippies;CHAPINERO;ESTRUCTURANTE;IDRD
03-014;Los Laches La Mina;SANTA FE;ESTRUCTURANTE;IDRD
03-035;Parque Nacional (Pm-2A)  Enrique Olaya Herrera ( Sector Historico );SANTA FE;ESTRUCTURANTE;IDRD
03-051;Sendero Monserrate;SANTA FE;ESTRUCTURANTE;IDRD
03-036;Las Cruces;SANTA FE;ESTRUCTURANTE;IDRD
03-039;Independencia-Bicentenario;SANTA FE;ESTRUCTURANTE;IDRD
03-085;Tercer Milenio;SANTA FE;ESTRUCTURANTE;IDRD
03-093;Plaza De Toros;SANTA FE;ESTRUCTURANTE;IDRD
03-148;Desarrollo Laches;SANTA FE;ESTRUCTURANTE;IDRD
04-013;Moralba;SAN CRISTÓBAL;ESTRUCTURANTE;IDRD
04-075;Villa De Los Alpes;SAN CRISTÓBAL;ESTRUCTURANTE;IDRD
04-103;Gaitan Cortes;SAN CRISTÓBAL;ESTRUCTURANTE;IDRD
04-122;La Victoria;SAN CRISTÓBAL;ESTRUCTURANTE;IDRD
04-127;San Cristobal;SAN CRISTÓBAL;ESTRUCTURANTE;IDRD
04-127;CEFE  San Cristobal;SAN CRISTÓBAL;ESTRUCTURANTE;IDRD
04-196;Deportivo Primero De Mayo;SAN CRISTÓBAL;ESTRUCTURANTE;IDRD
05-002;La Aurora Ii;USME;ESTRUCTURANTE;IDRD
05-003;Valles De Cafam;USME;ESTRUCTURANTE;IDRD
05-004;La Andrea;USME;ESTRUCTURANTE;IDRD
05-016;El Virrey Sur;USME;ESTRUCTURANTE;IDRD
05-086;Famaco;USME;ESTRUCTURANTE;IDRD
05-087;Villa Alemana;USME;ESTRUCTURANTE;IDRD
05-236;San Cayetano;USME;ESTRUCTURANTE;IDRD
06-017;Nuevo Muzu;TUNJUELITO;ESTRUCTURANTE;IDRD
06-063;El Tunal;TUNJUELITO;ESTRUCTURANTE;IDRD
06-063;CEFE  Tunal;TUNJUELITO;ESTRUCTURANTE;IDRD
07-035;Naranjos;BOSA;ESTRUCTURANTE;IDRD
07-163;Clarelandia;BOSA;ESTRUCTURANTE;IDRD
07-164;Parque Del Rio (San Jose De Maryland);BOSA;ESTRUCTURANTE;IDRD
07-165;Palestina;BOSA;ESTRUCTURANTE;IDRD
07-260;El Recreo;BOSA;ESTRUCTURANTE;IDRD
07-274;Tibanica;BOSA;ESTRUCTURANTE;IDRD
07-391;El Porvenir;BOSA;ESTRUCTURANTE;IDRD
07-152;Autopista Sur;BOSA;ESTRUCTURANTE;IDRD
07-273;Urbanizacion La Esperanza;BOSA;ESTRUCTURANTE;IDRD
07-036;Timiza(Sector Villa Del Rio);BOSA;ESTRUCTURANTE;IDRD
07-436;Campo Verde;BOSA;ESTRUCTURANTE;IDRD
08-034;Patio Bonito;KENNEDY;ESTRUCTURANTE;IDRD
08-109;El Tintal - Biblioteca;KENNEDY;ESTRUCTURANTE;IDRD
08-110;El Porvenir (Gibraltar);KENNEDY;ESTRUCTURANTE;IDRD
08-144;Bellavista-Dindalito;KENNEDY;ESTRUCTURANTE;IDRD
08-200;Castilla;KENNEDY;ESTRUCTURANTE;IDRD
08-212;La Igualdad;KENNEDY;ESTRUCTURANTE;IDRD
08-219;Timiza;KENNEDY;ESTRUCTURANTE;IDRD
08-241;Cayetano Ca¤izares;KENNEDY;ESTRUCTURANTE;IDRD
08-355;La Amistad;KENNEDY;ESTRUCTURANTE;IDRD
08-552;Las Margaritas (Gilma Jimenez);KENNEDY;ESTRUCTURANTE;IDRD
08-791;Urb San Ignacio Parque 1 Zonal;KENNEDY;ESTRUCTURANTE;IDRD
08-066;Marsella Sector Norte I Etapa,Pinos De Marsella;KENNEDY;ESTRUCTURANTE;IDRD
08-554;Estadio de Techo;KENNEDY;ESTRUCTURANTE;IDRD
09-020;Carmen De La Laguna;FONTIBÓN;ESTRUCTURANTE;IDRD
09-050;Canal Boyaca Modelia;FONTIBÓN;ESTRUCTURANTE;IDRD
09-104;Atahualpa;FONTIBÓN;ESTRUCTURANTE;IDRD
09-111;Sauzalito;FONTIBÓN;ESTRUCTURANTE;IDRD
09-125;Zona Franca (Pm-16);FONTIBÓN;ESTRUCTURANTE;IDRD
10-018;Villa Luz;ENGATIVÁ;ESTRUCTURANTE;IDRD
10-102;Villas De Granada;ENGATIVÁ;ESTRUCTURANTE;IDRD
10-169;El Carmelo;ENGATIVÁ;ESTRUCTURANTE;IDRD
10-171;Parque Juan Amarillo;ENGATIVÁ;ESTRUCTURANTE;IDRD
10-187;Bonanza;ENGATIVÁ;ESTRUCTURANTE;IDRD
10-192;Tabora;ENGATIVÁ;ESTRUCTURANTE;IDRD
10-215;Urbanizacion La Bonanza;ENGATIVÁ;ESTRUCTURANTE;IDRD
10-223;La Serena;ENGATIVÁ;ESTRUCTURANTE;IDRD
10-234;San Andres;ENGATIVÁ;ESTRUCTURANTE;IDRD
10-290;Simon Bolivar ( Sector Unidad Deportiva El Salitre );ENGATIVÁ;ESTRUCTURANTE;IDRD
10-311;La Florida;ENGATIVÁ;ESTRUCTURANTE;IDRD
10-531;Planta De Tratamiento Salitre;ENGATIVÁ;ESTRUCTURANTE;IDRD
10-812;Los Cerezos;ENGATIVÁ;ESTRUCTURANTE;IDRD
11-003;Cordoba;SUBA;ESTRUCTURANTE;IDRD
11-078;San Jose De Bavaria;SUBA;ESTRUCTURANTE;IDRD
11-113;Morato;SUBA;ESTRUCTURANTE;IDRD
11-191;NIZA XII;SUBA;ESTRUCTURANTE;IDRD
11-205;La Gaitana;SUBA;ESTRUCTURANTE;IDRD
11-212;Tibabuyes;SUBA;ESTRUCTURANTE;IDRD
11-368;Fontanar Del Rio;SUBA;ESTRUCTURANTE;IDRD
11-368;CEFE  Fontanar del Rio;SUBA;ESTRUCTURANTE;IDRD
11-796;Atabanza;SUBA;ESTRUCTURANTE;IDRD
11-069;Casa Blanca;SUBA;ESTRUCTURANTE;IDRD
11-204;Parque Del Indio O De Las Cometas;SUBA;ESTRUCTURANTE;IDRD
11-204;CEFE  Cometas;SUBA;ESTRUCTURANTE;IDRD
12-002;Canal Del Rio Negro;BARRIOS UNIDOS;ESTRUCTURANTE;IDRD
12-015;Alcazares;BARRIOS UNIDOS;ESTRUCTURANTE;IDRD
12-023;Gimnasio Distrital Del Norte;BARRIOS UNIDOS;ESTRUCTURANTE;IDRD
12-091;Simon Bolivar ( Sector Parque Deportivo El Salitre PRD  );BARRIOS UNIDOS;ESTRUCTURANTE;IDRD
12-110;Simon Bolivar ( Sector Plaza De Artesanos );BARRIOS UNIDOS;ESTRUCTURANTE;IDRD
12-092;Simon Bolivar ( Sector Parque De Los Novios );BARRIOS UNIDOS;ESTRUCTURANTE;IDRD
12-1000;Simon Bolivar (Sector Complejo Acuatico);BARRIOS UNIDOS;ESTRUCTURANTE;IDRD
12-125;Simon Bolivar (Sector Palacio De Los Deportes);BARRIOS UNIDOS;ESTRUCTURANTE;IDRD
12-141;Simon Bolivar (Sector Ciudad De Los Ni¤os );BARRIOS UNIDOS;ESTRUCTURANTE;IDRD
12-093;La Estacion;BARRIOS UNIDOS;ESTRUCTURANTE;IDRD
13-010;Esmeralda;TEUSAQUILLO;ESTRUCTURANTE;IDRD
13-038;Nicolas De Federman 3;TEUSAQUILLO;ESTRUCTURANTE;IDRD
13-088;Simon Bolivar ( Sector Virgilio Barco);TEUSAQUILLO;ESTRUCTURANTE;IDRD
13-089;Simon Bolivar ( Sector Central );TEUSAQUILLO;ESTRUCTURANTE;IDRD
14-009;Santa Isabel;MÁRTIRES;ESTRUCTURANTE;IDRD
14-030;Eduardo Santos;MÁRTIRES;ESTRUCTURANTE;IDRD
14-036;Calle 26 ( El Renacimiento - Parque Cementerio Central - Dam;MÁRTIRES;ESTRUCTURANTE;IDRD
14-037;Reconciliacion;MÁRTIRES;ESTRUCTURANTE;IDRD
15-027;Ciudad Jardin;ANTONIO NARIÑO;ESTRUCTURANTE;IDRD
15-036;Villa Mayor Cementerio Del Sur;ANTONIO NARIÑO;ESTRUCTURANTE;IDRD
15-040;La Fragua;ANTONIO NARIÑO;ESTRUCTURANTE;IDRD
16-024;Unidad Deportiva La Alqueria;PUENTE ARANDA;ESTRUCTURANTE;IDRD
16-099;Milenta Tejar San Eusebio;PUENTE ARANDA;ESTRUCTURANTE;IDRD
16-112;Ciudad Montes;PUENTE ARANDA;ESTRUCTURANTE;IDRD
16-204;El Jazmin;PUENTE ARANDA;ESTRUCTURANTE;IDRD
16-221;Agua Viva;PUENTE ARANDA;ESTRUCTURANTE;IDRD
16-416;Parque Industrial (Los Ejidos);PUENTE ARANDA;ESTRUCTURANTE;IDRD
17-008;La Concordia;LA CANDELARIA;ESTRUCTURANTE;IDRD
17-028;La Catedral - Candelaria Convenio IDU;LA CANDELARIA;ESTRUCTURANTE;IDRD
18-028;Bosque San Carlos;RAFAEL URIBE URIBE;ESTRUCTURANTE;IDRD
18-031;Diana Turbay;RAFAEL URIBE URIBE;ESTRUCTURANTE;IDRD
18-073;Santa Lucia;RAFAEL URIBE URIBE;ESTRUCTURANTE;IDRD
18-090;Pijaos Jorge E.Cabalier;RAFAEL URIBE URIBE;ESTRUCTURANTE;IDRD
18-162;Los Molinos Ii;RAFAEL URIBE URIBE;ESTRUCTURANTE;IDRD
18-205;Quiroga;RAFAEL URIBE URIBE;ESTRUCTURANTE;IDRD
18-207;Parque Estadio Olaya Herrera;RAFAEL URIBE URIBE;ESTRUCTURANTE;IDRD
18-452;Gimnasio Del Sur;RAFAEL URIBE URIBE;ESTRUCTURANTE;IDRD
18-457;Hacienda Los Molinos;RAFAEL URIBE URIBE;ESTRUCTURANTE;IDRD
19-058;Desarrollo Arborizadora Alta;CIUDAD BOLIVAR;ESTRUCTURANTE;IDRD
19-188;Arborizadora Alta;CIUDAD BOLIVAR;ESTRUCTURANTE;IDRD
19-189;Candelaria La Nueva;CIUDAD BOLIVAR;ESTRUCTURANTE;IDRD
19-190;Sierra Morena;CIUDAD BOLIVAR;ESTRUCTURANTE;IDRD
19-229;Arborizadora Alta;CIUDAD BOLIVAR;ESTRUCTURANTE;IDRD
19-230;Meissen;CIUDAD BOLIVAR;ESTRUCTURANTE;IDRD
19-231;Urbanizacion La Estancia;CIUDAD BOLIVAR;ESTRUCTURANTE;IDRD
19-346;Illimani (Paraiso);CIUDAD BOLIVAR;ESTRUCTURANTE;IDRD
19-347;Buenavista El Porvenir;CIUDAD BOLIVAR;ESTRUCTURANTE;IDRD
19-348;El Taller ( El Ensue¤o  );CIUDAD BOLIVAR;ESTRUCTURANTE;IDRD
19-349;La Joya;CIUDAD BOLIVAR;ESTRUCTURANTE;IDRD
19-756;Altos De La Estancia;CIUDAD BOLIVAR;ESTRUCTURANTE;IDRD
19-788;Mirador Illimani;CIUDAD BOLIVAR;ESTRUCTURANTE;IDRD
19-791;Cerro seco;CIUDAD BOLIVAR;ESTRUCTURANTE;IDRD
